CMDLINE 40983
MEM 373.312500 1700709288.7717
MEM 373.312500 1700709288.8725
MEM 373.312500 1700709288.9779
MEM 373.312500 1700709289.0833
MEM 373.312500 1700709289.1888
MEM 373.312500 1700709289.2942
MEM 373.312500 1700709289.3969
MEM 373.312500 1700709289.5014
MEM 373.312500 1700709289.6067
MEM 373.312500 1700709289.7119
MEM 373.312500 1700709289.8163
MEM 373.312500 1700709289.9220
MEM 373.312500 1700709290.0254
MEM 373.312500 1700709290.1281
MEM 373.312500 1700709290.2304
MEM 373.312500 1700709290.3337
MEM 373.312500 1700709290.4396
MEM 373.312500 1700709290.5413
MEM 373.312500 1700709290.6441
MEM 373.312500 1700709290.7479
MEM 373.312500 1700709290.8537
MEM 373.312500 1700709290.9592
MEM 373.312500 1700709291.0609
MEM 373.312500 1700709291.1656
MEM 373.312500 1700709291.2675
MEM 373.312500 1700709291.3685
MEM 373.312500 1700709291.4740
MEM 373.312500 1700709291.5796
MEM 373.312500 1700709291.6850
MEM 373.312500 1700709291.7905
MEM 373.312500 1700709291.8961
MEM 373.312500 1700709292.0015
MEM 373.312500 1700709292.1020
MEM 373.312500 1700709292.2080
MEM 373.312500 1700709292.3101
MEM 373.312500 1700709292.4155
MEM 373.312500 1700709292.5209
